folio,genero,rango_edad,alcaldia,turno_simulado,sede_asignada_simulada,discapacidad,lengua_indigena,comunidad_indigena,acceso_internet,tiene_beca,estatus_registro
REG26-002765,Mujer,26-30,CUAUHTÉMOC,Matutino,132_CO_CUH - MARIANO ABASOLO,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-002780,Mujer,26-30,ÁLVARO OBREGÓN,Matutino,003_PT_AOB - LA ARAÑA,No,No,No,No,No,Aceptado (pendiente de validación)
REG26-002870,Mujer,41-45,GUSTAVO A. MADERO,Matutino,167_NT_GAM - REVOLUCIÓN,No,No,No,Sí,No,Aceptado
REG26-002894,Mujer,26-30,MIGUEL HIDALGO,Matutino,037_PT_MIH - CANEGUÍN-ELVIA CARILLO PUERTO,No,No,No,Sí,Sí,Aceptado
REG26-002999,Hombre,21-25,COYOACÁN,Matutino,096_SP_COY - TAXQUEÑA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-003005,Hombre,31-35,ÁLVARO OBREGÓN,Matutino,005_PT_AOB - JALALPA TEPITO,No,No,No,Sí,No,Aceptado
REG26-003044,Hombre,21-25,VENUSTIANO CARRANZA,Matutino,279_CO_VCA - TEPITO MORELOS,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-003071,Mujer,46-50,IZTACALCO,Matutino,010_CO_IZT - AGRÍCOLA PANTITLÁN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-003086,Mujer,31-35,GUSTAVO A. MADERO,Matutino,135_NT_GAM - VASCO DE QUIROGA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-003110,Mujer,26-30,CUAUHTÉMOC,Matutino,056_CO_CUH - GLORIETA DE LOS INSURGENTES,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-003155,Mujer,16-20,IZTACALCO,Matutino,050_CO_IZT - LA FORTALEZA,No,No,No,Sí,No,Aceptado
REG26-003158,Mujer,26-30,GUSTAVO A. MADERO,Matutino,170_NT_GAM - TABLAS DE SAN AGUSTÍN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-003173,Mujer,31-35,COYOACÁN,Matutino,096_SP_COY - TAXQUEÑA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-003203,Mujer,26-30,GUSTAVO A. MADERO,Matutino,296_NT_GAM - SAN FELIPE DE JESÚS II,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-003224,Mujer,41-45,GUSTAVO A. MADERO,Matutino,205_NT_GAM - MALACATES,No,No,Sí,Sí,No,Aceptado (pendiente de validación)
REG26-003227,Mujer,51+,GUSTAVO A. MADERO,Matutino,111_NT_GAM - PUERTO MAZATLÁN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-003233,Mujer,21-25,CUAJIMALPA DE MORELOS,Matutino,158_PT_CUM - CONTADERO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-003242,Hombre,31-35,TLAHUAC,Matutino,146_SU_TLH - NOPALERA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-003245,Hombre,26-30,IZTAPALAPA,Matutino,269_IZ_IZP - JOSÉ REVUELTAS,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-003311,Mujer,26-30,IZTAPALAPA,Matutino,012_IZ_IZP - GABRIELA MISTRAL,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-003365,Hombre,16-20,GUSTAVO A. MADERO,Matutino,135_NT_GAM - VASCO DE QUIROGA,No,No,No,Sí,Sí,Aceptado
REG26-003419,Hombre,21-25,GUSTAVO A. MADERO,Matutino,164_NT_GAM - RAÚL ÁLVAREZ GARÍN,No,No,No,Sí,No,Aceptado
REG26-003440,Mujer,16-20,IZTAPALAPA,Matutino,227_IZ_IZP - SAN LORENZO TEZONCO,No,No,No,No,No,Aceptado (pendiente de validación)
REG26-003476,Hombre,16-20,VENUSTIANO CARRANZA,Matutino,123_CO_VCA - CANDELARIA,No,No,No,Sí,Sí,Aceptado
REG26-003551,Mujer,31-35,IZTAPALAPA,Matutino,066_IZ_IZP - VILLA CID,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-003554,Hombre,51+,CUAUHTÉMOC,Matutino,013_CO_CUH - FRIDA KAHLO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-003566,Mujer,36-40,MILPA ALTA,Matutino,181_SU_MIA - SAN JUAN TEPENAHUAC,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-003620,Hombre,16-20,CUAUHTÉMOC,Matutino,197_CO_CUH - EVANGELINA CORONA,No,No,No,Sí,No,Aceptado
REG26-003638,Hombre,36-40,COYOACÁN,Único,262_SP_COY - ENRIQUE DUSSEL,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-003677,Hombre,16-20,IZTACALCO,Matutino,059_CO_IZT - ROJO GÓMEZ,No,No,No,Sí,Sí,Aceptado
REG26-003794,Hombre,51+,TLALPAN,Matutino,277_SP_TLP - DAVID CERVANTES,No,Sí,No,No,No,Aceptado (pendiente de validación)
REG26-003812,Mujer,31-35,CUAJIMALPA DE MORELOS,Matutino,158_PT_CUM - CONTADERO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-003875,Hombre,31-35,GUSTAVO A. MADERO,Matutino,170_NT_GAM - TABLAS DE SAN AGUSTÍN,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-003878,Hombre,16-20,IZTACALCO,Matutino,010_CO_IZT - AGRÍCOLA PANTITLÁN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-003896,Hombre,21-25,COYOACÁN,Matutino,129_SP_COY - FRANCISCO J. MÚGICA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-003947,Mujer,31-35,TLAHUAC,Matutino,275_SU_TLH - SAN JOSÉ,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-004028,Mujer,26-30,COYOACÁN,Matutino,106_SP_COY - TOPILTZIN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-004058,Mujer,26-30,IZTAPALAPA,Matutino,124_IZ_IZP - CARLOTA BOTEY,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-004142,Mujer,21-25,COYOACÁN,Matutino,101_SP_COY - LA ESCUELITA,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-004163,Mujer,21-25,GUSTAVO A. MADERO,Matutino,134_NT_GAM - ALI CHUMACERO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-004175,Hombre,31-35,TLAHUAC,Matutino,236_SU_TLH - SAN NICOLÁS TETELCO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-004229,Mujer,31-35,TLALPAN,Matutino,277_SP_TLP - DAVID CERVANTES,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-004232,Mujer,26-30,VENUSTIANO CARRANZA,Matutino,250_CO_VCA - COPIL,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-004265,Mujer,21-25,LA MAGDALENA CONTRERAS,Matutino,229_SP_MAC - MAGDALENA ATLITIC,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-004268,Mujer,16-20,CUAJIMALPA DE MORELOS,Matutino,078_PT_CUM - BENITO JUÁREZ GARCÍA,No,No,No,Sí,No,Aceptado
REG26-004286,Hombre,36-40,ÁLVARO OBREGÓN,Matutino,067_PT_AOB - SANTA LUCÍA,No,No,No,Sí,No,Aceptado
REG26-004307,Mujer,21-25,IZTAPALAPA,Matutino,222_IZ_IZP - GUELATAO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-004316,Hombre,21-25,IZTAPALAPA,Matutino,011_IZ_IZP - ACAHUALTEPEC,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-004328,Mujer,21-25,ÁLVARO OBREGÓN,Matutino,004_PT_AOB - EL CAPULÍN,No,No,No,No,Sí,Aceptado (pendiente de validación)
REG26-004481,Mujer,21-25,COYOACÁN,Matutino,261_SP_COY - CARMEN SERDÁN,No,No,No,Sí,No,Aceptado
REG26-004484,Mujer,31-35,COYOACÁN,Matutino,101_SP_COY - LA ESCUELITA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-004544,Hombre,31-35,VENUSTIANO CARRANZA,Matutino,123_CO_VCA - CANDELARIA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-004577,Mujer,31-35,TLALPAN,Matutino,184_SP_TLP - SAN MIGUEL,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-004631,Hombre,51+,BENITO JUAREZ,Matutino,120_CO_BEJ - CARLOS MONSIVÁIS,No,No,No,Sí,No,Aceptado
REG26-004634,Hombre,16-20,VENUSTIANO CARRANZA,Matutino,123_CO_VCA - CANDELARIA,No,No,No,Sí,No,Aceptado
REG26-004712,Mujer,16-20,IZTACALCO,Matutino,010_CO_IZT - AGRÍCOLA PANTITLÁN,No,No,No,Sí,Sí,Aceptado
REG26-004751,Mujer,26-30,ÁLVARO OBREGÓN,Matutino,063_PT_AOB - PRESIDENTES,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-004769,Mujer,31-35,VENUSTIANO CARRANZA,Matutino,073_CO_VCA - AVENIDA DEL TALLER,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-004772,Mujer,26-30,LA MAGDALENA CONTRERAS,Matutino,229_SP_MAC - MAGDALENA ATLITIC,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-004847,Hombre,16-20,CUAJIMALPA DE MORELOS,Único,291_PT_CUM - CUAJIMALPA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-004871,Mujer,31-35,TLAHUAC,Matutino,085_SU_TLH - MIGUEL HIDALGO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-004886,Hombre,16-20,ÁLVARO OBREGÓN,Matutino,024_PT_AOB - BELÉN DE LAS FLORES,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-005009,Mujer,16-20,VENUSTIANO CARRANZA,Matutino,123_CO_VCA - CANDELARIA,No,No,No,Sí,No,Aceptado
REG26-005045,Hombre,36-40,XOCHIMILCO,Matutino,030_SU_XOC - SANTIAGO TEPALCATLALPAN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-005090,Hombre,21-25,GUSTAVO A. MADERO,Matutino,135_NT_GAM - VASCO DE QUIROGA,No,No,No,Sí,No,Aceptado
REG26-005189,Mujer,26-30,COYOACÁN,Matutino,304_SP_COY - EL PARIAN,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-005198,Mujer,26-30,CUAJIMALPA DE MORELOS,Único,291_PT_CUM - CUAJIMALPA,No,No,No,Sí,Sí,Aceptado
REG26-005201,Mujer,31-35,COYOACÁN,Matutino,261_SP_COY - CARMEN SERDÁN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-005225,Mujer,26-30,XOCHIMILCO,Matutino,257_SU_XOC - SANTA CRUZ XOCHITEPEC,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-005294,Mujer,36-40,CUAUHTÉMOC,Matutino,018_CO_CUH - ATLAMPA,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-005315,Hombre,16-20,VENUSTIANO CARRANZA,Matutino,186_CO_VCA - PARQUE VELÓDROMO,No,No,No,Sí,Sí,Aceptado
REG26-005399,Hombre,31-35,IZTAPALAPA,Matutino,269_IZ_IZP - JOSÉ REVUELTAS,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-005411,Hombre,16-20,XOCHIMILCO,Matutino,029_SU_XOC - SANTA CECILIA,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-005420,Hombre,51+,AZCAPOTZALCO,Matutino,102_NT_AZC - PRO HOGAR,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-005483,Hombre,16-20,IZTAPALAPA,Matutino,077_IZ_IZP - CERRO AZUL,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-005546,Hombre,26-30,IZTAPALAPA,Matutino,217_IZ_IZP - LEYES DE REFORMA III SECCIÓN 2,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-005570,Mujer,51+,COYOACÁN,Matutino,129_SP_COY - FRANCISCO J. MÚGICA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-005579,Mujer,31-35,GUSTAVO A. MADERO,Matutino,265_NT_GAM - CHALMA DE GUADALUPE,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-005645,Hombre,36-40,ÁLVARO OBREGÓN,Matutino,044_PT_AOB - LOMAS DE LA ERA,No,No,No,Sí,No,Aceptado
REG26-005651,Hombre,51+,CUAUHTÉMOC,Matutino,133_CO_CUH - SEPI,No,Sí,Sí,Sí,No,Aceptado
REG26-005675,Mujer,26-30,TLALPAN,Matutino,242_SP_TLP - DIF MIGUEL HIDALGO,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-005678,Mujer,46-50,IZTAPALAPA,Matutino,100_IZ_IZP - CONSTITUCIÓN DE 1917,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-005681,Hombre,21-25,CUAUHTÉMOC,Matutino,018_CO_CUH - ATLAMPA,No,No,No,Sí,No,Aceptado
REG26-005696,Mujer,31-35,MILPA ALTA,Matutino,057_SU_MIA - SAN PEDRO ATOCPAN,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-005702,Mujer,31-35,IZTACALCO,Matutino,031_CO_IZT - PAQUITA CALVO ZAPATA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-005720,Hombre,46-50,COYOACÁN,Matutino,261_SP_COY - CARMEN SERDÁN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-005753,Hombre,41-45,CUAUHTÉMOC,Matutino,071_CO_CUH - ENRIQUE CALDERÓN ALZATI,No,No,No,Sí,No,Aceptado
REG26-005759,Mujer,26-30,BENITO JUAREZ,Matutino,054_CO_BEJ - MUNICIPIO LIBRE,No,No,No,Sí,Sí,Aceptado
REG26-005765,Mujer,31-35,ÁLVARO OBREGÓN,Matutino,282_PT_AOB - SANTA ROSA,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-005783,Mujer,26-30,TLALPAN,Matutino,098_SP_TLP - LA JOYA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-005792,Mujer,51+,VENUSTIANO CARRANZA,Matutino,279_CO_VCA - TEPITO MORELOS,No,No,No,No,No,Aceptado (pendiente de validación)
REG26-005804,Hombre,31-35,AZCAPOTZALCO,Matutino,260_NT_AZC - EL ROSARIO,No,No,No,No,No,Aceptado
REG26-005831,Hombre,21-25,GUSTAVO A. MADERO,Matutino,198_NT_GAM - AMPLIACIÓN PROVIDENCIA,No,No,No,Sí,No,Aceptado
REG26-005927,Mujer,16-20,IZTACALCO,Matutino,010_CO_IZT - AGRÍCOLA PANTITLÁN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-005942,Hombre,16-20,BENITO JUAREZ,Matutino,054_CO_BEJ - MUNICIPIO LIBRE,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-005954,Hombre,16-20,GUSTAVO A. MADERO,Matutino,111_NT_GAM - PUERTO MAZATLÁN,No,No,No,No,No,Aceptado (pendiente de validación)
REG26-005966,Hombre,16-20,GUSTAVO A. MADERO,Matutino,199_NT_GAM - BOSQUE DE ARAGÓN,No,No,No,Sí,No,Aceptado
REG26-005972,Mujer,26-30,IZTAPALAPA,Matutino,215_IZ_IZP - APATLACO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-005987,Hombre,46-50,TLAHUAC,Matutino,238_SU_TLH - SELENE,No,No,No,Sí,No,Aceptado
REG26-006011,Mujer,16-20,TLALPAN,Matutino,150_SP_TLP - TOPILEJO,No,No,No,Sí,Sí,Aceptado
REG26-006092,Mujer,26-30,IZTAPALAPA,Matutino,266_IZ_IZP - EJERCITO DE ORIENTE,No,No,No,Sí,No,Aceptado
REG26-006128,Mujer,26-30,IZTACALCO,Matutino,059_CO_IZT - ROJO GÓMEZ,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-006224,Hombre,26-30,IZTAPALAPA,Matutino,075_IZ_IZP - SANTA CRUZ MEYEHUALCO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-006257,Mujer,31-35,IZTAPALAPA,Matutino,215_IZ_IZP - APATLACO,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-006263,Mujer,21-25,TLALPAN,Matutino,290_SP_TLP - SAN NICOLÁS II,No,No,No,Sí,Sí,Aceptado
REG26-006284,Mujer,51+,GUSTAVO A. MADERO,Matutino,199_NT_GAM - BOSQUE DE ARAGÓN,No,No,No,Sí,No,Aceptado
REG26-006317,Mujer,16-20,GUSTAVO A. MADERO,Matutino,135_NT_GAM - VASCO DE QUIROGA,No,No,No,Sí,No,Aceptado
REG26-006326,Mujer,21-25,CUAUHTÉMOC,Matutino,118_CO_CUH - LA EQUIDAD,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-006341,Mujer,41-45,ÁLVARO OBREGÓN,Matutino,040_PT_AOB - SANTA FE,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-006347,Mujer,16-20,IZTACALCO,Matutino,010_CO_IZT - AGRÍCOLA PANTITLÁN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-006368,Mujer,26-30,IZTAPALAPA,Matutino,138_IZ_IZP - EL MOLINO TEZONCO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-006383,Mujer,16-20,VENUSTIANO CARRANZA,Matutino,152_CO_VCA - PELÓN OSUNA,No,No,No,Sí,Sí,Aceptado
REG26-006398,Hombre,31-35,IZTACALCO,Matutino,059_CO_IZT - ROJO GÓMEZ,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-006404,Mujer,26-30,BENITO JUAREZ,Matutino,195_CO_BEJ - ANTONIO HELGUERA,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-006407,Mujer,26-30,GUSTAVO A. MADERO,Matutino,135_NT_GAM - VASCO DE QUIROGA,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-006416,Mujer,51+,GUSTAVO A. MADERO,Matutino,264_NT_GAM - CANDELARIA TICOMÁN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-006419,Mujer,21-25,IZTAPALAPA,Matutino,269_IZ_IZP - JOSÉ REVUELTAS,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-006422,Hombre,16-20,IZTAPALAPA,Matutino,224_IZ_IZP - LOMAS DE LA ESTANCIA,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-006449,Mujer,31-35,IZTAPALAPA,Matutino,287_IZ_IZP - ÁLVARO OBREGÓN,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
